\LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,Value,Flag Codes
AUS,HUR,MEN,PC_LF,M,2021-04,5.774879,
CAN,HUR,MEN,PC_LF,M,2005-01,7.3,
CAN,HUR,MEN,PC_LF,M,2005-02,7.3,
CAN,HUR,MEN,PC_LF,M,2005-03,7.2,
CAN,HUR,MEN,PC_LF,M,2005-04,7.1,
CAN,HUR,MEN,PC_LF,M,2005-05,7.3,
CAN,HUR,MEN,PC_LF,M,2005-06,7.1,
CAN,HUR,MEN,PC_LF,M,2005-07,7.1,
CAN,HUR,MEN,PC_LF,M,2005-08,7,
CAN,HUR,MEN,PC_LF,M,2005-09,6.9,
CAN,HUR,MEN,PC_LF,M,2005-10,6.7,
CAN,HUR,MEN,PC_LF,M,2005-11,6.6,
CAN,HUR,MEN,PC_LF,M,2005-12,6.6,
CAN,HUR,MEN,PC_LF,M,2006-01,6.8,
CAN,HUR,MEN,PC_LF,M,2006-02,6.5,
CAN,HUR,MEN,PC_LF,M,2006-03,6.4,
CAN,HUR,MEN,PC_LF,M,2006-04,6.4,
CAN,HUR,MEN,PC_LF,M,2006-05,6.2,
CAN,HUR,MEN,PC_LF,M,2006-06,6.2,
CAN,HUR,MEN,PC_LF,M,2006-07,6.6,
CAN,HUR,MEN,PC_LF,M,2006-08,6.7,
CAN,HUR,MEN,PC_LF,M,2006-09,6.9,
CAN,HUR,MEN,PC_LF,M,2006-10,6.5,
CAN,HUR,MEN,PC_LF,M,2006-11,6.7,
CAN,HUR,MEN,PC_LF,M,2006-12,6.5,
CAN,HUR,MEN,PC_LF,M,2007-01,6.6,
CAN,HUR,MEN,PC_LF,M,2007-02,6.6,
CAN,HUR,MEN,PC_LF,M,2007-03,6.5,
CAN,HUR,MEN,PC_LF,M,2007-04,6.6,
CAN,HUR,MEN,PC_LF,M,2007-05,6.3,
CAN,HUR,MEN,PC_LF,M,2007-06,6.4,
CAN,HUR,MEN,PC_LF,M,2007-07,6.3,
CAN,HUR,MEN,PC_LF,M,2007-08,6.2,
CAN,HUR,MEN,PC_LF,M,2007-09,6,
CAN,HUR,MEN,PC_LF,M,2007-10,6.3,
CAN,HUR,MEN,PC_LF,M,2007-11,6.4,
CAN,HUR,MEN,PC_LF,M,2007-12,6.5,
CAN,HUR,MEN,PC_LF,M,2008-01,6.2,
CAN,HUR,MEN,PC_LF,M,2008-02,6.2,
CAN,HUR,MEN,PC_LF,M,2008-03,6.6,
CAN,HUR,MEN,PC_LF,M,2008-04,6.5,
CAN,HUR,MEN,PC_LF,M,2008-05,6.4,
CAN,HUR,MEN,PC_LF,M,2008-06,6.5,
CAN,HUR,MEN,PC_LF,M,2008-07,6.6,
CAN,HUR,MEN,PC_LF,M,2008-08,6.4,
CAN,HUR,MEN,PC_LF,M,2008-09,6.6,
CAN,HUR,MEN,PC_LF,M,2008-10,6.7,
CAN,HUR,MEN,PC_LF,M,2008-11,7.2,
CAN,HUR,MEN,PC_LF,M,2008-12,7.3,
CAN,HUR,MEN,PC_LF,M,2009-01,8.3,
CAN,HUR,MEN,PC_LF,M,2009-02,9.1,
CAN,HUR,MEN,PC_LF,M,2009-03,9.3,
CAN,HUR,MEN,PC_LF,M,2009-04,9.6,
CAN,HUR,MEN,PC_LF,M,2009-05,10,
CAN,HUR,MEN,PC_LF,M,2009-06,10,
CAN,HUR,MEN,PC_LF,M,2009-07,9.9,
CAN,HUR,MEN,PC_LF,M,2009-08,9.8,
CAN,HUR,MEN,PC_LF,M,2009-09,9.7,
CAN,HUR,MEN,PC_LF,M,2009-10,9.6,
CAN,HUR,MEN,PC_LF,M,2009-11,9.6,
CAN,HUR,MEN,PC_LF,M,2009-12,9.5,
